context,cue_idx,hue,ori,hue_diff,ori_diff,iti_trs,trial_time_tr
ori,1,red,right,easy,hard,0,0.0
hue,1,green,left,easy,hard,6,6.0
ori,0,green,left,easy,easy,4,18.0
hue,1,red,right,hard,hard,0,28.0
hue,1,green,right,easy,hard,2,34.0
ori,0,red,right,hard,hard,2,42.0
hue,0,green,right,hard,easy,0,50.0
hue,1,green,right,hard,easy,1,56.0
hue,1,green,left,hard,easy,0,63.0
ori,1,green,right,hard,hard,3,69.0
hue,1,red,right,easy,easy,0,78.0
ori,0,green,right,easy,easy,1,84.0
ori,1,red,left,hard,easy,1,91.0
ori,1,green,left,hard,hard,8,98.0
ori,0,red,right,easy,hard,0,112.0
ori,1,red,left,easy,hard,2,118.0
hue,0,red,left,hard,hard,6,126.0
hue,0,green,right,easy,easy,1,138.0
ori,1,red,left,hard,hard,2,145.0
ori,1,green,right,easy,hard,1,153.0
hue,0,red,right,easy,hard,5,160.0
hue,1,green,left,hard,hard,0,171.0
ori,0,green,right,hard,easy,2,177.0
hue,1,red,left,easy,hard,0,185.0
ori,1,red,left,easy,easy,0,191.0
hue,0,red,right,hard,easy,1,197.0
hue,1,red,right,hard,easy,1,204.0
hue,0,green,right,easy,hard,4,211.0
ori,0,green,left,hard,hard,1,221.0
hue,1,red,right,easy,hard,0,228.0
ori,0,green,left,easy,hard,0,234.0
ori,0,red,left,easy,easy,0,240.0
ori,1,red,right,easy,easy,9,246.0
hue,0,green,left,hard,hard,4,261.0
hue,1,green,left,easy,easy,2,271.0
ori,1,green,left,easy,hard,5,279.0
hue,1,red,left,hard,easy,0,290.0
hue,0,red,left,hard,easy,0,296.0
hue,0,red,left,easy,hard,3,302.0
hue,0,green,left,hard,easy,2,311.0
hue,0,red,right,hard,hard,2,319.0
ori,0,red,left,hard,hard,0,327.0
hue,0,red,left,easy,easy,7,333.0
hue,0,green,right,hard,hard,2,346.0
ori,0,red,left,hard,easy,3,354.0
ori,0,green,left,hard,easy,4,363.0
ori,0,red,left,easy,hard,0,373.0
hue,0,red,right,easy,easy,0,379.0
ori,0,red,right,easy,easy,1,385.0
hue,1,red,left,easy,easy,1,392.0
ori,0,green,right,hard,hard,3,399.0
ori,1,green,left,hard,easy,0,408.0
ori,1,red,right,hard,easy,5,414.0
ori,0,green,right,easy,hard,3,425.0
ori,1,green,left,easy,easy,1,434.0
ori,1,green,right,hard,easy,3,441.0
hue,1,green,right,easy,easy,1,450.0
ori,1,green,right,easy,easy,0,457.0
ori,0,red,right,hard,easy,0,463.0
hue,1,red,left,hard,hard,0,469.0
hue,0,green,left,easy,easy,0,475.0
hue,0,green,left,easy,hard,1,481.0
hue,1,green,right,hard,hard,2,488.0
ori,1,red,right,hard,hard,1,496.0
